📺中央数字超高清,#genre#
WD东南卫视,http://tnvcn.com:8012/rtp/239.3.1.156:8148$北京联通1+
WG广东卫视,http://tnvcn.com:8012/rtp/239.3.1.142:8048$北京联通1+
WG贵州卫视,http://tnvcn.com:8012/rtp/239.3.1.149:8076$北京联通1+
WH黑龙江卫视,http://tnvcn.com:8012/rtp/239.3.1.133:8016$北京联通1+
WH湖北卫视,http://tnvcn.com:8012/rtp/239.3.1.138:8044$北京联通1+
WH湖南卫视,http://tnvcn.com:8012/rtp/239.3.1.132:8012$北京联通1+
WJ吉林卫视,http://tnvcn.com:8012/rtp/239.3.1.240:8172$北京联通1+
X纪实人文,http://tnvcn.com:8012/rtp/239.3.1.212:8060$北京联通1+
WJ江苏卫视,http://tnvcn.com:8012/rtp/239.3.1.135:8028$北京联通1+
WJ江西卫视,http://tnvcn.com:8012/rtp/239.3.1.123:8164$北京联通1+
X金鹰纪实,http://tnvcn.com:8012/rtp/239.3.1.58:8156$北京联通1+
WL辽宁卫视,http://tnvcn.com:8012/rtp/239.3.1.210:8056$北京联通1+
WS山东卫视,http://tnvcn.com:8012/rtp/239.3.1.209:8052$北京联通1+
WS深圳卫视,http://tnvcn.com:8012/rtp/239.3.1.134:8020$北京联通1+
WT天津卫视,http://tnvcn.com:8012/rtp/239.3.1.141:1234$北京联通1+
WZ浙江卫视,http://tnvcn.com:8012/rtp/239.3.1.137:8036$北京联通1+
WC重庆卫视,http://tnvcn.com:8012/rtp/239.3.1.122:8160$北京联通1+


WA安徽卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.145:9072$山/西联通2+
WB北京卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.177:9328$山/西联通2+
WD东方卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.175:9312$山/西联通2+
WD东南卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.188:9416$山/西联通2+
WG广东卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.146:9080$山/西联通2+
WG广西卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.231:9760$山/西联通2+
WG贵州卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.180:9352$山/西联通2+
WH海南卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.212:9608$山/西联通2+
WH河北卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.178:9336$山/西联通2+
WH河南卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.52:8328$山/西联通2+
WH黑龙江卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.151:9120$山/西联通2+
WH湖北卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.150:9112$山/西联通2+
WH湖南卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.143:9056$山/西联通2+
WJ江苏卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.176:9320$山/西联通2+
WJ江西卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.54:8344$山/西联通2+
WL辽宁卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.173:9296$山/西联通2+
WS山东卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.149:9104$山/西联通2+
WS山西卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.152:9128$山/西联通2+
WS深圳卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.147:9088$山/西联通2+
WS四川卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.179:9344$山/西联通2+
WT天津卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.148:9096$山/西联通2+
WZ浙江卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.144:9064$山/西联通2+
WC重庆卫视,http://ds920.dsmynas.net:5555/rtp/226.0.2.174:9304$山/西联通2+
X纪实人文,http://ds920.dsmynas.net:5555/rtp/226.0.2.193:9456$山/西联通2+
X乐游频道,http://ds920.dsmynas.net:5555/rtp/226.0.2.77:8528$山/西联通2+
X金鹰纪实,http://ds920.dsmynas.net:5555/rtp/226.0.2.194:9464$山/西联通2+
Y金鹰卡通,http://ds920.dsmynas.net:5555/rtp/226.0.2.172:9288$山/西联通2+
Y动漫秀场,http://ds920.dsmynas.net:5555/rtp/226.0.2.183:9376$山/西联通2+
Y金色学堂,http://ds920.dsmynas.net:5555/rtp/226.0.2.182:9368$山/西联通2+
Y优优宝贝,http://ds920.dsmynas.net:5555/rtp/226.0.2.119:8864$山/西联通2+



